Comment,Designator,Footprint,JLCPCB Part #（optional）
2.2uF,"C1,C2",0402,C12530
100nF,"C3,C8,C9,C10,C11,C12,C13,C16,C23,C24,C25,C26,C27,C28,C29",0402,C1525
15pF,"C4,C5",0402,C1548
10uF,"C6,C7",1206,C13585
4.7uF,"C14,C15",0603,C19666
47uF,"C17,C18",1206,C96123
3.3nF,C19,0402,C26404
100pF,C20,0402,C1546
1uF,"C21,C22,C30",0402,C52923
SS56,D1,SMA,C65009
SMBJ26A,D2,SMB,C3019963
LED white,"D3,D4,D5",0603,C2290
DM3AT-SF-PEJM5,J1,microSD_HC_Hirose_DM3AT-SF-PEJM5,
SM08B-GHS-TB,J2,JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,
SM06B-GHS-TB,J3,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,
SM03B-GHS-TB,J4,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,
SM04B-GHS-TB,"J5,J6,J7",JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,
15uH,L1,"SMD,10.4x10.3mm",C16113
10k,"R1,R6,R8",0402,C25744
100k,"R2,R4",0402,C25741
24.9k,R3,0402,C25874
52.3k,R5,0402,C26982
4.99k,R7,0402,C25903
1k,"R9,R20,R21",0402,C11702
4.7k,"R10,R11",0402,C25900
5.1k,"R12,R13",0402,C25905
47k,"R14,R15,R16,R17,R18,R19",0402,C25792
330,"R22,R23",0402,C25104
TS-1187A-B-A-B,"SW1,SW2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,C318884
STM32H743VIT6,U1,LQFP-100,C114409
TPS54560BDDA,U2,SOIC-8-EP,C31966
AP2112K-3.3,U3,SOT-23-5,C51118
ICM-42688-P,U4,LGA-14,C1850418
BMP388,U5,LGA-10,C779278
USBLC6-2SC6,U6,SOT-23-6,C2827654
TYPE-C 16PIN 2MD,USB1,USB-C-SMD_TYPE-C-16PIN-2MD-073,C2765186
8MHz,Y1,SMD3225-4P,C2682775
